ID,Type,Name,Documentation,Specialization
,ApplicationInterface,sd_prod.postordresplanification,,
,ApplicationInterface,sd_prod.postplanningequipes,,
,ApplicationInterface,sfa.deletejob,,
,ApplicationInterface,sfa.getbatch,,
,ApplicationInterface,sfa.getbatches,,
,ApplicationInterface,sfa.getjob,,
,ApplicationInterface,sfa.getobjectsbatch,,
,ApplicationInterface,sfa.getresult,,
,ApplicationInterface,sfa.patchcustomer,,
,ApplicationInterface,sfa.postbatch,,
,ApplicationInterface,sfa.postdelivery,,
,ApplicationInterface,sfa.postjob,,
,ApplicationInterface,sfa.postmarketingbudget,,
,ApplicationInterface,sfa.postmarketingproduct,,
,ApplicationInterface,sfa.postobjectsbatch,,
,ApplicationInterface,similarweb.getjob,,
,ApplicationInterface,similarweb.postjob,,
,ApplicationInterface,similarweb.putjob,,
,ApplicationInterface,traceability.postdrygood,,
,ApplicationInterface,traceability.postfinishedproduct,,
,ApplicationInterface,visual_planning.postevenementmecattribution,,
,ApplicationInterface,visual_planning.postordrefabrication,,
,ApplicationInterface,visual_planning.putevenementmecavancement,,
,ApplicationInterface,visual_planning.putevenementpecavancement,,
,ApplicationInterface,visual_planning.putevenementprodavancement,,
,ApplicationInterface,welcomhe.deleteemployee,,
,ApplicationInterface,welcomhe.getonboardeesworkflow,,
,ApplicationInterface,welcomhe.getprofile,,
,ApplicationInterface,welcomhe.patchemployee,,
,ApplicationInterface,welcomhe.patchonboardeesworkflow,,
,ApplicationInterface,welcomhe.postemployee,,
,ApplicationInterface,welcomhe.postonboardeesworkflow,,
,ApplicationInterface,welcomhe.postonboardeesworkflowscancellation,,
,ApplicationInterface,wms_comete.deletegoodsreceiptplanned,,
,ApplicationInterface,wms_comete.deletematerial,,
,ApplicationInterface,wms_comete.deleteshipmentplanned,,
,ApplicationInterface,wms_comete.postbatchesstatus,,
,ApplicationInterface,wms_comete.postgoodsreceiptplanned,,
,ApplicationInterface,wms_comete.postmaterial,,
,ApplicationInterface,wms_comete.postshipmentplanned,,
,ApplicationInterface,wms_dego_mf_mc.deletegoodsreceiptplanned,,
,ApplicationInterface,wms_dego_mf_mc.deletematerial,,
,ApplicationInterface,wms_dego_mf_mc.deleteshipmentplanned,,
,ApplicationInterface,wms_dego_mf_mc.postbatchesstatus,,
,ApplicationInterface,wms_dego_mf_mc.postgoodsreceiptplanned,,
,ApplicationInterface,wms_dego_mf_mc.postmaterial,,
,ApplicationInterface,wms_dego_mf_mc.postshipmentplanned,,
,ApplicationInterface,wms_polmos.postmaterial,,
,ApplicationInterface,wms_polmos.postproductionorder,,
,ApplicationService,eda.aspire.customers,,
,ApplicationService,eda.aspire.deliveries,,
,ApplicationService,eda.aspire.marketing_budgets,,
,ApplicationService,eda.aspire.pricing_conditions,,
,ApplicationService,eda.boomi_us.contacts,,
,ApplicationService,eda.boomi_us.orders,,
,ApplicationService,eda.boomi_us.returns,,
,ApplicationService,eda.clos19_analytics.orders,,
,ApplicationService,eda.clos19_analytics.products,,
,ApplicationService,eda.clos19_analytics.returns,,
,ApplicationService,eda.concur_ap.vendors,,
,ApplicationService,eda.datalake_sales_marketing.returns,,
,ApplicationService,eda.engage_sales.orders,,
,ApplicationService,eda.engage_sales.products,,
,ApplicationService,eda.engage_sales.products_prices,,
,ApplicationService,eda.gan_integrity.companies,,
,ApplicationService,eda.gan_integrity.persons,,
,ApplicationService,eda.gcp_dlk_eda.contacts,,
,ApplicationService,eda.gcp_dlk_eg_commcloud_clos19.orders,,
,ApplicationService,eda.gcp_dlk_maxxing.accounts,,
,ApplicationService,eda.gcp_dlk_maxxing.customers,,
,ApplicationService,eda.gcp_dlk_maxxing.point_movements,,
,ApplicationService,eda.hennessy_edv.business_partners_roles_courtier,,
,ApplicationService,eda.hennessy_edv.business_partners_roles_distillateur,,
,ApplicationService,eda.hennessy_edv.commandes_achat,,
,ApplicationService,eda.hennessy_edv.comptes_rendus_mec,,
,ApplicationService,eda.hennessy_edv.comptes_rendus_pec,,
,ApplicationService,eda.hennessy_edv.contrats_bonne_fin,,
,ApplicationService,eda.imhprovement.inspection_lots,,
,ApplicationService,eda.imhprovement.materials,,
,ApplicationService,eda.imhprovement.vendors,,
,ApplicationService,eda.livstick.notifications,,
,ApplicationService,eda.mes_comete.materials,,
,ApplicationService,eda.mes_comete.production_orders,,
,ApplicationService,eda.mes_comete.production_orders_instructions,,
,ApplicationService,eda.mes_dego_mf_mc.materials,,
,ApplicationService,eda.mes_dego_mf_mc.production_orders,,
,ApplicationService,eda.mes_dego_mf_mc.production_orders_instructions,,
,ApplicationService,eda.mes_poignettage.materials,,
,ApplicationService,eda.mes_poignettage.production_orders,,
,ApplicationService,eda.mes_poignettage.production_orders_instructions,,
,ApplicationService,eda.mes_pont_neuf.ordres_fabrication,,
,ApplicationService,eda.mh_library.products,,
,ApplicationService,eda.mh_pay.payment_requests,,
,ApplicationService,eda.pda_champagne.global_trade_item_numbers,,
,ApplicationService,eda.pda_champagne.materials,,
,ApplicationService,eda.pda_champagne.production_orders,,
,ApplicationService,eda.pda_champagne.production_orders_instructions,,
,ApplicationService,eda.ppp_store.contracts,,
,ApplicationService,eda.ppp_store.discounts,,
,ApplicationService,eda.ppp_store.orders_trackings,,
,ApplicationService,eda.ppp_store.prices,,
,ApplicationService,eda.ppp_store.upcharges,,
,ApplicationService,eda.quota_app.employees_henn,,
,ApplicationService,eda.quota_app.employees_mhcs,,
,ApplicationService,eda.reflex.inventaires,,
,ApplicationService,eda.reflex.ordres_fabrication_mec,,
,ApplicationService,eda.reflex.ordres_fabrication_pec,,
,ApplicationService,eda.sales.customers,,
,ApplicationService,eda.salesforce_b2c.cases,,
,ApplicationService,eda.salesforce_b2c.private_accounts,,
,ApplicationService,eda.salesforce_b2c.private_orders,,
,ApplicationService,eda.salesforce_edv.achats_echantillons,,
,ApplicationService,eda.sd_finition.ordres_fabrication,,
,ApplicationService,eda.sd_prod.ordres_mec_attribution,,
,ApplicationService,eda.sd_prod.ordres_pfb,,
,ApplicationService,eda.sd_prod.ordres_prb,,
,ApplicationService,eda.visual_planning.evenements_mec_attribution,,
,ApplicationService,eda.visual_planning.evenements_mec_avancement,,
,ApplicationService,eda.visual_planning.evenements_pec_avancement,,
,ApplicationService,eda.visual_planning.ordres_fabrication,,
,ApplicationService,eda.wms_comete.inbound_deliveries,,
,ApplicationService,eda.wms_comete.materials,,
,ApplicationService,eda.wms_comete.outbound_deliveries,,
,ApplicationService,eda.wms_comete.purchase_orders,,
,ApplicationService,eda.wms_comete.quality_inspection_lots,,
,ApplicationService,eda.wms_comete.stock_transfers,,
,ApplicationService,eda.wms_dego_mf_mc.inbound_deliveries,,
,ApplicationService,eda.wms_dego_mf_mc.materials,,
,ApplicationService,eda.wms_dego_mf_mc.outbound_deliveries,,
,ApplicationService,eda.wms_dego_mf_mc.purchase_orders,,
,ApplicationService,eda.wms_dego_mf_mc.quality_inspection_lots,,
,ApplicationService,eda.wms_dego_mf_mc.stock_transfers,,
,ApplicationService,eda.wms_polmos.materials,,
,ApplicationService,eda.wms_polmos.production_orders,,
,ApplicationService,udg.ecommerce_rui_fr.products,,
,ApplicationService,udg.engage_backend.contacts,,
,ApplicationService,udg.logix_brazil.customers,,
,ApplicationService,udg.logix_brazil.vendors,,
,ApplicationService,udg.reflex.attributions_mec,,
,ApplicationService,udg.reflex.avancements_mec,,
,ApplicationService,udg.reflex.avancements_pec,,
,ApplicationService,udg.reflex.comptes_rendus_mec,,
,ApplicationService,udg.reflex.comptes_rendus_pec,,
,ApplicationService,udg.salesforce_b2c.cases,,
,ApplicationService,udg.salesforce_b2c.email_messages,,
,ApplicationService,udg.salesforce_b2c.optouts,,
,ApplicationEvent,visits,,
,ApplicationEvent,products,,
,ApplicationEvent,cases,,
,ApplicationEvent,purchases_invoices,,
,ApplicationEvent,contacts,,
,ApplicationEvent,sales_deliveries,,
,ApplicationEvent,vendors,,
,ApplicationEvent,posm_orders_trackings,,
,ApplicationEvent,loyalty_accounts,,
,ApplicationEvent,loyalty_customers,,
,ApplicationEvent,loyalty_cards,,
,ApplicationEvent,sales_invoices,,
,ApplicationEvent,loyalty_receipts,,
,ApplicationEvent,email_messages,,
,ApplicationEvent,optouts,,
,ApplicationEvent,orders,,
,ApplicationEvent,employees,,
,ApplicationEvent,loyalty_point_movements,,
,ApplicationEvent,business_partners,,
,ApplicationEvent,production_orders,,
,ApplicationEvent,customers,,
,ApplicationEvent,tiers,,
,ApplicationEvent,echantillons,,
,ApplicationEvent,contracts,,
,ApplicationEvent,events,,
,ApplicationEvent,prices_conditions,,
,ApplicationEvent,goods_movements,,
,ApplicationEvent,quality_inspection_lots,,
,ApplicationEvent,production_orders_instructions,,
,ApplicationEvent,ordres_fabrication,,
,ApplicationEvent,returns,,
,ApplicationEvent,achats_echantillons,,
,ApplicationEvent,tiers,,
,ApplicationEvent,inventaires,,
,ApplicationEvent,sales_orders,,
,ApplicationEvent,avancements_pec,,
,ApplicationEvent,attributions_mec,,
,ApplicationEvent,comptes_rendus_pec,,
,ApplicationEvent,sales,,
,ApplicationEvent,projects,,
,ApplicationEvent,prices_zcond_a04,,
,ApplicationEvent,comptes_rendus_mec,,
,ApplicationEvent,posm_contracts,,
,ApplicationEvent,global_trade_item_numbers,,
,ApplicationEvent,results,,
,ApplicationEvent,private_accounts,,
,ApplicationEvent,avancements_mec,,
,ApplicationEvent,loyalty_run_promos,,
,ApplicationEvent,private_order,,
,ApplicationEvent,email_results,,
,ApplicationEvent,loyalty_offers,,
,ApplicationEvent,oaders,,
,ApplicationEvent,deliveries,,
,ApplicationEvent,loyalty_maxxing_offers,,
,ApplicationEvent,2,,
,ApplicationEvent,private_orders,,
,ApplicationEvent,citerne,,
,ApplicationEvent,touchpoints,,
,ApplicationEvent,loyalty_containers,,
